database,workload,run_id,iterations,successful_operations,failed_operations,p50_ms,p90_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,stddev_ms,throughput_ops_sec,error_breakdown,timestamp
kuzu,point_lookup,run_1_1787597717,100,100,0,4.1172,4.6565,4.7514,4.8871,4.1926,3.7664,5.1171,0.3237,236.93,{},2026-08-24T18:55:18.612406+00:00
kuzu,filtered_lookup,run_1_1787597717,100,100,0,1.8369,2.2289,2.3319,2.5398,1.8878,1.5891,2.5772,0.2107,520.64,{},2026-08-24T18:55:18.853295+00:00
kuzu,traversal_1_hop,run_1_1787597717,100,100,0,1.2057,1.4354,1.6072,1.6691,1.2474,1.0417,1.8715,0.154,784.74,{},2026-08-24T18:55:19.040784+00:00
kuzu,traversal_2_hop,run_1_1787597717,100,100,0,4.8746,6.54,7.1194,8.1442,4.9961,2.9404,8.7366,1.2036,198.4,{},2026-08-24T18:55:19.655841+00:00
kuzu,traversal_3_hop,run_1_1787597717,100,100,0,9.8754,13.4073,14.8503,16.2626,9.7748,5.1114,16.472,3.01,101.87,{},2026-08-24T18:55:20.824801+00:00
kuzu,aggregation,run_1_1787597717,100,100,0,50.5572,53.459,55.7346,58.0801,51.1352,48.3578,58.243,1.9802,19.54,{},2026-08-24T18:55:26.989712+00:00
kuzu,point_lookup,run_2_1787597726,100,100,0,4.0683,4.627,4.7175,4.8308,4.1518,3.7208,4.8879,0.3015,239.05,{},2026-08-24T18:55:27.495211+00:00
kuzu,filtered_lookup,run_2_1787597726,100,100,0,1.8456,2.1943,2.3445,2.6656,1.904,1.5529,2.7783,0.2268,517.59,{},2026-08-24T18:55:27.729238+00:00
kuzu,traversal_1_hop,run_2_1787597726,100,100,0,1.2715,1.5275,1.6225,1.8564,1.2875,0.96,2.064,0.193,760.13,{},2026-08-24T18:55:27.890536+00:00
kuzu,traversal_2_hop,run_2_1787597726,100,100,0,5.0838,6.7223,7.5221,8.5116,5.1721,3.0516,8.9549,1.2777,191.75,{},2026-08-24T18:55:28.515737+00:00
kuzu,traversal_3_hop,run_2_1787597726,100,100,0,10.027,13.6009,15.3892,16.6783,9.9631,5.1278,17.1527,3.068,99.95,{},2026-08-24T18:55:29.702604+00:00
kuzu,aggregation,run_2_1787597726,100,100,0,70.3448,76.102,79.6691,80.9201,66.2177,49.899,81.8503,9.7243,15.09,{},2026-08-24T18:55:37.348224+00:00
kuzu,point_lookup,run_3_1787597737,100,100,0,6.6738,7.2426,7.4077,7.7668,6.7477,6.159,8.5438,0.3953,147.2,{},2026-08-24T18:55:38.182209+00:00
kuzu,filtered_lookup,run_3_1787597737,100,100,0,3.0027,3.4865,3.8041,4.5529,3.0907,2.6091,4.6593,0.3686,319.07,{},2026-08-24T18:55:38.562878+00:00
kuzu,traversal_1_hop,run_3_1787597737,100,100,0,2.235,2.6652,2.799,3.225,2.2893,1.7643,3.4824,0.3021,428.23,{},2026-08-24T18:55:38.978223+00:00
kuzu,traversal_2_hop,run_3_1787597737,100,100,0,8.0772,11.0599,12.5232,14.3153,8.194,4.9404,14.8326,2.1929,121.16,{},2026-08-24T18:55:39.960174+00:00
kuzu,traversal_3_hop,run_3_1787597737,100,100,0,15.8106,21.9467,24.5842,28.3787,16.0638,8.4436,28.5229,4.976,62.03,{},2026-08-24T18:55:41.902979+00:00
kuzu,aggregation,run_3_1787597737,100,100,0,68.9975,77.3361,81.1005,88.6576,70.8279,63.7677,105.8326,5.7786,14.11,{},2026-08-24T18:55:50.464436+00:00
kuzu,point_lookup,run_1_1787640937,100,100,0,4.3172,4.9975,5.5693,5.9723,4.4642,4.0161,6.0793,0.4452,222.33,{},2026-08-25T06:55:39.233579+00:00
kuzu,filtered_lookup,run_1_1787640937,100,100,0,1.7092,1.9374,1.9873,2.2476,1.7382,1.5565,2.5318,0.1571,566.04,{},2026-08-25T06:55:39.464620+00:00
kuzu,traversal_1_hop,run_1_1787640937,100,100,0,1.1721,1.4065,1.596,1.7097,1.2139,0.9796,2.001,0.1757,806.05,{},2026-08-25T06:55:39.617567+00:00
kuzu,traversal_2_hop,run_1_1787640937,100,100,0,4.6748,6.679,7.3812,7.885,4.934,2.9936,8.2054,1.258,200.97,{},2026-08-25T06:55:40.243191+00:00
kuzu,traversal_3_hop,run_1_1787640937,100,100,0,9.7932,14.4935,15.292,16.1458,9.8999,4.785,17.0729,3.1235,100.59,{},2026-08-25T06:55:41.420766+00:00
kuzu,aggregation,run_1_1787640937,100,100,0,47.2937,49.2049,50.2385,56.9893,47.7428,45.1283,59.1335,2.0954,20.93,{},2026-08-25T06:55:47.207314+00:00
kuzu,point_lookup,run_2_1787640947,100,100,0,4.4268,5.0282,5.1811,5.546,4.4899,3.9737,5.5893,0.3818,221.12,{},2026-08-25T06:55:47.750139+00:00
kuzu,filtered_lookup,run_2_1787640947,100,100,0,1.8739,2.4827,2.5695,2.7914,1.9531,1.6106,3.0036,0.2886,503.63,{},2026-08-25T06:55:47.992137+00:00
kuzu,traversal_1_hop,run_2_1787640947,100,100,0,1.2611,1.6477,1.7775,1.9035,1.3187,1.0029,2.317,0.2226,740.54,{},2026-08-25T06:55:48.157340+00:00
kuzu,traversal_2_hop,run_2_1787640947,100,100,0,4.8095,6.6225,7.1899,8.0294,4.9765,2.8872,8.175,1.2106,199.21,{},2026-08-25T06:55:48.795714+00:00
kuzu,traversal_3_hop,run_2_1787640947,100,100,0,9.6703,13.8697,14.188,15.6171,9.6796,4.7214,16.1845,3.0566,102.86,{},2026-08-25T06:55:49.965942+00:00
kuzu,aggregation,run_2_1787640947,100,100,0,48.2846,53.1929,54.8712,58.0621,49.0578,45.163,58.7805,2.9739,20.37,{},2026-08-25T06:55:55.853332+00:00
kuzu,point_lookup,run_3_1787640955,100,100,0,4.537,5.0206,5.0945,5.2061,4.5355,3.9358,5.4282,0.3397,219.02,{},2026-08-25T06:55:56.403884+00:00
kuzu,filtered_lookup,run_3_1787640955,100,100,0,2.4699,3.5392,3.8428,4.4817,2.6697,1.7456,4.9727,0.6453,368.32,{},2026-08-25T06:55:56.730988+00:00
kuzu,traversal_1_hop,run_3_1787640955,100,100,0,1.7925,2.3365,2.4991,2.9853,1.8802,1.2427,3.0167,0.3559,518.89,{},2026-08-25T06:55:56.961268+00:00
kuzu,traversal_2_hop,run_3_1787640955,100,100,0,4.7318,7.0664,7.8364,8.2258,5.0215,2.7341,9.1734,1.362,197.48,{},2026-08-25T06:55:57.578455+00:00
kuzu,traversal_3_hop,run_3_1787640955,100,100,0,9.8955,14.2746,15.2163,16.3256,9.9296,4.7374,16.4332,3.1729,100.26,{},2026-08-25T06:55:58.783709+00:00
kuzu,aggregation,run_3_1787640955,100,100,0,47.4342,51.9866,53.1114,54.4814,48.0527,45.5539,57.7318,2.2905,20.79,{},2026-08-25T06:56:04.592755+00:00
kuzu,point_lookup,run_1_1787641495,100,100,0,3.9872,4.4566,4.8579,5.5825,4.0853,3.6702,5.7577,0.3762,243.11,{},2026-08-25T07:04:57.146242+00:00
kuzu,filtered_lookup,run_1_1787641495,100,100,0,1.8106,2.1197,2.1547,2.3627,1.8593,1.6051,2.4332,0.1695,528.79,{},2026-08-25T07:04:57.381753+00:00
kuzu,traversal_1_hop,run_1_1787641495,100,100,0,1.1792,1.387,1.4998,1.77,1.2211,1.034,2.8235,0.2068,800.66,{},2026-08-25T07:04:57.538899+00:00
kuzu,traversal_2_hop,run_1_1787641495,100,100,0,4.9249,6.9929,7.8513,8.356,5.1592,2.8817,9.0428,1.3604,192.24,{},2026-08-25T07:04:58.163467+00:00
kuzu,traversal_3_hop,run_1_1787641495,100,100,0,10.1365,13.5139,14.4809,15.9175,9.7912,4.7504,17.2199,2.9548,101.67,{},2026-08-25T07:04:59.338875+00:00
kuzu,aggregation,run_1_1787641495,100,100,0,47.5343,49.5003,50.9054,54.938,47.838,45.1969,56.0908,1.8806,20.89,{},2026-08-25T07:05:05.126622+00:00
kuzu,point_lookup,run_2_1787641505,100,100,0,3.9251,4.4247,4.69,6.005,4.0579,3.7175,6.6002,0.4502,244.78,{},2026-08-25T07:05:05.621064+00:00
kuzu,filtered_lookup,run_2_1787641505,100,100,0,1.7953,2.2078,2.4217,2.6303,1.8818,1.6205,2.9979,0.2465,523.42,{},2026-08-25T07:05:05.853710+00:00
kuzu,traversal_1_hop,run_2_1787641505,100,100,0,1.3509,1.9893,2.4749,3.4747,1.5032,1.1234,3.8753,0.466,650.05,{},2026-08-25T07:05:06.037426+00:00
kuzu,traversal_2_hop,run_2_1787641505,100,100,0,5.1205,6.9742,8.0049,10.0822,5.2666,2.8196,10.6514,1.4958,188.35,{},2026-08-25T07:05:06.676512+00:00
kuzu,traversal_3_hop,run_2_1787641505,100,100,0,9.7868,13.8378,14.8265,16.7213,9.8725,4.7077,18.4657,3.0164,100.85,{},2026-08-25T07:05:07.858657+00:00
kuzu,aggregation,run_2_1787641505,100,100,0,47.6761,50.9936,52.6842,54.8146,48.2462,45.4968,54.8897,2.0187,20.71,{},2026-08-25T07:05:13.669447+00:00
kuzu,point_lookup,run_3_1787641513,100,100,0,3.8982,4.2015,4.3214,4.763,3.9498,3.713,4.7797,0.202,251.53,{},2026-08-25T07:05:14.152992+00:00
kuzu,filtered_lookup,run_3_1787641513,100,100,0,1.798,2.0969,2.2996,2.674,1.8492,1.5685,2.829,0.2354,531.43,{},2026-08-25T07:05:14.386577+00:00
kuzu,traversal_1_hop,run_3_1787641513,100,100,0,1.2119,1.4016,1.5386,1.573,1.2358,1.0518,1.9456,0.1398,790.52,{},2026-08-25T07:05:14.541137+00:00
kuzu,traversal_2_hop,run_3_1787641513,100,100,0,4.9383,6.2194,6.8286,8.1521,4.8962,3.0203,8.2173,1.1925,202.49,{},2026-08-25T07:05:15.129239+00:00
kuzu,traversal_3_hop,run_3_1787641513,100,100,0,10.0431,13.5596,15.2397,16.0695,9.8037,4.6758,17.8139,3.1441,101.55,{},2026-08-25T07:05:16.325385+00:00
kuzu,aggregation,run_3_1787641513,100,100,0,48.3529,52.3459,53.6912,56.8586,49.0204,45.3904,58.4708,2.5566,20.38,{},2026-08-25T07:05:22.204659+00:00
cognodb,point_lookup,run_1_1787647751,100,100,0,257.3291,314.3103,326.7801,334.2693,269.2414,229.0088,390.8106,37.4506,3.71,{},2026-08-25T08:52:19.603838+00:00
cognodb,filtered_lookup,run_1_1787647751,100,100,0,274.8185,308.5376,329.1018,342.9793,280.5144,235.2211,507.2178,38.9649,3.56,{},2026-08-25T08:52:53.466945+00:00
cognodb,traversal_1_hop,run_1_1787647751,100,100,0,279.2312,307.4346,308.0278,330.1618,275.9211,229.5324,527.9349,41.1159,3.62,{},2026-08-25T08:53:26.570434+00:00
cognodb,traversal_2_hop,run_1_1787647751,100,100,0,292.6829,308.555,323.8582,381.3251,280.4356,229.4336,484.5688,41.2964,3.57,{},2026-08-25T08:54:00.232766+00:00
cognodb,traversal_3_hop,run_1_1787647751,100,100,0,306.8497,349.4986,500.1547,1266.5438,323.5143,230.1975,1373.5987,155.0985,3.09,{},2026-08-25T08:54:38.427423+00:00
cognodb,aggregation,run_1_1787647751,100,100,0,4351.4675,5590.6718,5805.9578,6352.3864,4582.5173,3891.1248,6700.311,578.0659,0.22,{},2026-08-25T09:03:45.790840+00:00
cognodb,point_lookup,run_2_1787648625,100,100,0,307.0281,322.2843,339.6408,419.2457,305.09,233.1729,1465.966,121.2186,3.28,{},2026-08-25T09:04:22.012624+00:00
cognodb,filtered_lookup,run_2_1787648625,100,100,0,306.9558,320.9975,330.3882,356.7488,295.7614,237.5764,362.2534,27.8733,3.38,{},2026-08-25T09:04:57.534579+00:00
cognodb,traversal_1_hop,run_2_1787648625,100,100,0,306.9311,308.1166,311.8088,322.5772,289.7281,230.3583,338.0368,29.2789,3.45,{},2026-08-25T09:05:32.156989+00:00
cognodb,traversal_2_hop,run_2_1787648625,100,100,0,306.8329,307.6372,313.4273,357.9707,289.7228,229.9384,358.2182,29.708,3.45,{},2026-08-25T09:06:07.075139+00:00
cognodb,traversal_3_hop,run_2_1787648625,100,100,0,300.9282,320.3474,350.7047,511.733,288.3245,230.5513,511.8072,50.9915,3.47,{},2026-08-25T09:06:41.687384+00:00
cognodb,aggregation,run_2_1787648625,100,100,0,4402.6613,4883.2115,5063.876,5429.6357,4467.6595,3993.8303,5633.895,315.9497,0.22,{},2026-08-25T09:15:33.659384+00:00
cognodb,point_lookup,run_3_1787649333,100,100,0,306.3782,308.7917,312.4425,334.0321,287.6765,229.1521,361.9879,30.6403,3.48,{},2026-08-25T09:16:08.065695+00:00
cognodb,filtered_lookup,run_3_1787649333,100,100,0,306.1935,307.861,313.0581,333.8269,286.4043,236.0112,454.1447,33.4681,3.49,{},2026-08-25T09:16:42.550974+00:00
cognodb,traversal_1_hop,run_3_1787649333,100,100,0,306.7923,308.4487,315.9911,333.9567,288.6243,228.8621,481.1704,36.0138,3.46,{},2026-08-25T09:17:17.179792+00:00
cognodb,traversal_2_hop,run_3_1787649333,100,100,0,306.7952,307.7067,308.9679,339.3521,287.6809,228.6397,386.6828,32.4128,3.48,{},2026-08-25T09:17:51.490759+00:00
cognodb,traversal_3_hop,run_3_1787649333,100,100,0,307.0382,314.9868,354.4788,466.9319,299.9905,229.3056,486.1563,40.8815,3.33,{},2026-08-25T09:18:27.538380+00:00
cognodb,aggregation,run_3_1787649333,100,95,5,4302.7796,5302.7251,5519.194,6646.7129,4497.9162,3956.1274,6780.9783,522.1684,0.13,"{'ServiceUnavailable': 4, 'BufferError': 1}",2026-08-25T09:31:43.600836+00:00
neo4j,point_lookup,run_1_1787651016,100,100,0,81.7064,101.201,114.0506,160.9411,86.995,78.5882,165.1537,15.2898,11.49,{},2026-08-25T09:45:06.533520+00:00
neo4j,filtered_lookup,run_1_1787651016,100,100,0,81.3259,84.4144,86.6573,154.195,83.6272,79.1427,159.147,11.1297,11.95,{},2026-08-25T09:45:16.574736+00:00
neo4j,traversal_1_hop,run_1_1787651016,100,100,0,80.844,86.9783,91.2882,182.7017,87.8663,78.2502,491.2485,42.6936,11.37,{},2026-08-25T09:45:27.020335+00:00
neo4j,traversal_2_hop,run_1_1787651016,100,100,0,80.9844,93.7517,95.2124,161.4887,86.5011,62.4436,402.6589,33.2969,11.55,{},2026-08-25T09:45:37.347717+00:00
neo4j,traversal_3_hop,run_1_1787651016,100,100,0,64.0287,69.7092,73.3202,85.5424,66.0081,61.7161,129.5916,7.4775,15.14,{},2026-08-25T09:45:45.298641+00:00
neo4j,aggregation,run_1_1787651016,100,100,0,210.2319,239.9112,257.5009,517.242,219.8331,187.2065,517.4739,47.6269,4.55,{},2026-08-25T09:46:11.580322+00:00
neo4j,point_lookup,run_2_1787651171,100,100,0,80.7587,84.3874,86.5401,93.0293,82.2713,78.6774,162.9174,8.4145,12.15,{},2026-08-25T09:46:21.442567+00:00
neo4j,filtered_lookup,run_2_1787651171,100,100,0,81.1116,85.1071,87.9395,164.5918,87.5898,78.7455,520.7812,44.7326,11.41,{},2026-08-25T09:46:31.839010+00:00
neo4j,traversal_1_hop,run_2_1787651171,100,100,0,80.291,86.3143,99.9195,167.2231,86.6968,78.7336,494.85,42.1414,11.53,{},2026-08-25T09:46:42.132770+00:00
neo4j,traversal_2_hop,run_2_1787651171,100,100,0,80.3701,93.4713,94.5855,192.2274,87.0389,61.6563,497.4542,44.2784,11.48,{},2026-08-25T09:46:52.449026+00:00
neo4j,traversal_3_hop,run_2_1787651171,100,100,0,63.8954,70.2149,94.5449,132.6284,68.1884,61.2031,166.8116,15.6023,14.65,{},2026-08-25T09:47:00.685537+00:00
neo4j,aggregation,run_2_1787651171,100,100,0,198.921,219.8002,234.964,410.6351,207.1373,185.1805,461.5781,35.8249,4.83,{},2026-08-25T09:47:25.351498+00:00
neo4j,point_lookup,run_3_1787651245,100,100,0,79.2898,80.6017,82.4849,114.1056,80.8657,78.1217,157.1148,9.03,12.36,{},2026-08-25T09:47:35.043821+00:00
neo4j,filtered_lookup,run_3_1787651245,100,100,0,79.3077,81.496,86.3294,92.6676,80.8291,77.3989,158.5347,8.1828,12.37,{},2026-08-25T09:47:44.785863+00:00
neo4j,traversal_1_hop,run_3_1787651245,100,100,0,78.2602,80.2931,80.847,91.9087,79.6784,77.04,175.7174,9.8101,12.54,{},2026-08-25T09:47:54.334370+00:00
neo4j,traversal_2_hop,run_3_1787651245,100,100,0,78.6122,82.6487,88.8327,107.716,80.5837,76.9663,153.7154,8.5302,12.4,{},2026-08-25T09:48:03.992621+00:00
neo4j,traversal_3_hop,run_3_1787651245,100,100,0,62.8008,72.8119,93.7468,115.0368,66.3421,59.9794,119.1351,10.7701,15.06,{},2026-08-25T09:48:12.369372+00:00
neo4j,aggregation,run_3_1787651245,100,100,0,189.5084,228.4568,237.6359,298.9187,197.8906,166.8584,307.4124,25.0024,5.05,{},2026-08-25T09:48:35.867816+00:00
